mobile_name,mobile_price,mobile_color,Sims,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,Brand,5G_connectivity,VOLTE_connectivity,4G_connectivity,3G_connectivity,2G_connectivity,primary_cam,secondary_cam,tertiary_cam,quaternary_cam,Low_light_sensor,f_cam_primary,f_cam_secondary
Note 8 ,10100,Black,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,64,4,4000,75.3,158.3,8.35,190.0,Redmi,No,Yes,No,Yes,Yes,48,8,0,0,No,13,0
8A Dual ,7450,White,2,6.22,HD+,Android Pie 9,Octa Core,2.0,32,3,5000,92.0,175.0,9.0,186.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Note 7 Pro ,12999,Black,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,64,6,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
K20 Pro ,29999,Red,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,256,8,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Note 9 Pro ,12999,White,2,6.67,FHD+,Android 10,Octa Core,2.3,64,4,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
Note 9 Pro ,12999,Black,2,6.67,FHD+,Android 10,Octa Core,2.3,64,4,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
8A Dual ,7499,Blue,2,6.22,HD+,Android Pie 9,Octa Core,2.0,32,3,5000,92.0,175.0,9.0,186.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Note 6 Pro ,11999,Black,2,6.26,FHD+,Android Oreo 8,Octa Core,1.8,64,6,4000,76.4,157.9,8.26,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,2
Note 6 Pro ,11999,Red,2,6.26,FHD+,Android Oreo 8,Octa Core,1.8,64,6,4000,76.4,157.9,8.26,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,2
Note 4 ,12999,Black,2,5.5,FHD,Android Marshmallow 6,Octa Core,2.0,64,4,4100,76.0,151.0,8.4,165.0,Redmi,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Note 6 Pro ,11999,Gold,2,6.26,FHD+,Android Oreo 8,Octa Core,1.8,64,6,4000,76.4,157.9,8.26,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,2
K20 ,21999,Blue,2,6.39,FHD+,Android Pie 9,Octa Core,2.2,64,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Note 5 Pro ,12999,Gold,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,4,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
